REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,SIEL00D00,SIE3,1,2021,0.9608
REGION1,SKEL00D00,SKE3,1,2021,0.9369
REGION1,UKEL00D00,UKE3,1,2021,0.95
REGION1,ATCOCHPH1,ATE1,1,2021,1.0
REGION1,ATNGCCPH1,ATE1,1,2021,1.0
REGION1,ATNGCHPH1,ATE1,1,2021,1.0
REGION1,ATNGGCPH1,ATE1,1,2021,1.0
REGION1,ATNGHPFH1,ATE1,1,2021,1.0
REGION1,ATNGSTPH1,ATE1,1,2021,1.0
REGION1,ATBFCHPH1,ATE1,1,2021,1.0
REGION1,ATBFHPFH1,ATE1,1,2021,1.0
REGION1,ATDGCHPH1,ATE1,1,2021,1.0
REGION1,ATDGELH1,ATE1,1,2021,1.0
REGION1,ATRGCHPH1,ATE1,1,2021,1.0
REGION1,ATDSCHPH1,ATE1,1,2021,1.0
REGION1,ATDSELH1,ATE1,1,2021,1.0
REGION1,ATHFCHPH1,ATE1,1,2021,1.0
REGION1,ATHFSTPH1,ATE1,1,2021,1.0
REGION1,ATBMSTPH1,ATE1,1,2021,1.0
REGION1,ATBMCHPH1,ATE1,1,2021,1.0
REGION1,ATWSCHPH1,ATE1,1,2021,1.0
REGION1,ATWSSTPH1,ATE1,1,2021,1.0
REGION1,ATWIONPH1,ATE1,1,2021,1.0
REGION1,ATSOUTPH1,ATE1,1,2021,1.0
REGION1,ATGOCVPH1,ATE1,1,2021,1.0
REGION1,ATHYDMPH1,ATE1,1,2021,1.0
REGION1,ATHYDRPH1,ATE1,1,2021,1.0
REGION1,BENUG2PH1,BEE1,1,2021,1.0
REGION1,BECOCHPH1,BEE1,1,2021,1.0
REGION1,BECOSTPH1,BEE1,1,2021,1.0
REGION1,BENGCCPH1,BEE1,1,2021,1.0
REGION1,BENGCHPH1,BEE1,1,2021,1.0
REGION1,BEBFHPFH1,BEE1,1,2021,1.0
REGION1,BEBFCHPH1,BEE1,1,2021,1.0
REGION1,BEDGELH1,BEE1,1,2021,1.0
REGION1,BERGCHPH1,BEE1,1,2021,1.0
REGION1,BEDSCHPH1,BEE1,1,2021,1.0
REGION1,BEDSELH1,BEE1,1,2021,1.0
REGION1,BEHFCHPH1,BEE1,1,2021,1.0
