REGION,FUEL,YEAR,VALUE
REGION1,GHE3,2028,69.071
REGION1,GNE3,2028,10.866
REGION1,GWE3,2028,0.69
REGION1,KEE3,2028,58.144
REGION1,LSE3,2028,4.491
REGION1,LRE3,2028,1.26
REGION1,LYE3,2028,136.116
REGION1,MWE3,2028,9.011
REGION1,MLE3,2028,12.739
REGION1,MRE3,2028,6.638
REGION1,MAE3,2028,247.19
REGION1,MZE3,2028,39.52
REGION1,NAE3,2028,16.987
REGION1,NEE3,2028,5.499
REGION1,NGE3,2028,181.65
REGION1,CGE3,2028,7.499
REGION1,RWE3,2028,3.504
REGION1,SNE3,2028,26.77
REGION1,SLE3,2028,1.347
REGION1,SOE3,2028,1.883
REGION1,ZAE3,2028,783.245
REGION1,SSE3,2028,1.947
REGION1,SDE3,2028,50.231
REGION1,SZE3,2028,7.145
REGION1,TZE3,2028,24.103
REGION1,TGE3,2028,6.813
REGION1,TNE3,2028,130.71
REGION1,UGE3,2028,14.941
REGION1,ZME3,2028,72.324
REGION1,ZWE3,2028,48.396
REGION1,ATE3,2029,298.189
REGION1,BEE3,2029,357.443
REGION1,BGE3,2029,121.916
REGION1,HRE3,2029,64.471
REGION1,CYE3,2029,19.282
REGION1,CZE3,2029,232.694
REGION1,DKE3,2029,142.89
REGION1,EEE3,2029,33.344
REGION1,FIE3,2029,358.889
REGION1,FRE3,2029,1936.222
REGION1,DEE3,2029,2230.577
REGION1,GRE3,2029,224.708
REGION1,HUE3,2029,164.091
REGION1,IEE3,2029,143.655
REGION1,ITE3,2029,1339.936
REGION1,LVE3,2029,30.172
REGION1,LTE3,2029,49.784
REGION1,LUE3,2029,28.682
REGION1,MTE3,2029,12.576
REGION1,NLE3,2029,484.573
REGION1,NOE3,2029,597.628
REGION1,PLE3,2029,561.459
REGION1,PTE3,2029,227.21
REGION1,ROE3,2029,169.584
REGION1,SKE3,2029,90.765
REGION1,SIE3,2029,51.755
REGION1,ESE3,2029,1047.558
REGION1,SEE3,2029,573.204
REGION1,CHE3,2029,306.844
REGION1,UKE3,2029,1575.4
REGION1,DZE3,2029,430.028
REGION1,AOE3,2029,103.678
REGION1,BJE3,2029,6.336
REGION1,BWE3,2029,22.682
REGION1,BFE3,2029,11.532
REGION1,BIE3,2029,1.347
REGION1,CME3,2029,32.4
REGION1,CFE3,2029,0.425
REGION1,TDE3,2029,1.109
REGION1,CDE3,2029,101.248
REGION1,CIE3,2029,41.134
REGION1,DJE3,2029,2.66
REGION1,EGE3,2029,1109.485
REGION1,GQE3,2029,6.525
REGION1,ERE3,2029,1.335
REGION1,ETE3,2029,96.131
REGION1,GAE3,2029,10.182
REGION1,GME3,2029,1.641
REGION1,GHE3,2029,74.968
REGION1,GNE3,2029,11.793
REGION1,GWE3,2029,0.749
REGION1,KEE3,2029,62.151
REGION1,LSE3,2029,4.916
REGION1,LRE3,2029,1.367
REGION1,LYE3,2029,142.443
REGION1,MWE3,2029,9.865
REGION1,MLE3,2029,13.826
REGION1,MRE3,2029,7.204
REGION1,MAE3,2029,260.981
REGION1,MZE3,2029,42.968
REGION1,NAE3,2029,18.596
REGION1,NEE3,2029,5.968
REGION1,NGE3,2029,194.589
REGION1,CGE3,2029,8.118
REGION1,RWE3,2029,3.769
REGION1,SNE3,2029,29.055
REGION1,SLE3,2029,1.462
REGION1,SOE3,2029,2.026
REGION1,ZAE3,2029,806.055
REGION1,SSE3,2029,2.094
REGION1,SDE3,2029,54.03
REGION1,SZE3,2029,7.822
REGION1,TZE3,2029,26.206
REGION1,TGE3,2029,7.395
REGION1,TNE3,2029,135.751
REGION1,UGE3,2029,16.071
REGION1,ZME3,2029,79.173
REGION1,ZWE3,2029,52.979
REGION1,ATE3,2030,307.454
REGION1,BEE3,2030,368.549
REGION1,BGE3,2030,123.114
REGION1,HRE3,2030,65.105
REGION1,CYE3,2030,19.472
REGION1,CZE3,2030,234.981
REGION1,DKE3,2030,147.33
REGION1,EEE3,2030,34.38
REGION1,FIE3,2030,370.04
REGION1,FRE3,2030,1996.381
REGION1,DEE3,2030,2299.882
REGION1,GRE3,2030,231.69
REGION1,HUE3,2030,165.704
REGION1,IEE3,2030,148.118
REGION1,ITE3,2030,1381.569
REGION1,LVE3,2030,31.109
REGION1,LTE3,2030,51.331
REGION1,LUE3,2030,29.573
REGION1,MTE3,2030,12.967
REGION1,NLE3,2030,499.629
REGION1,NOE3,2030,616.196
REGION1,PLE3,2030,566.979
REGION1,PTE3,2030,234.27
REGION1,ROE3,2030,171.252
REGION1,SKE3,2030,91.657
REGION1,SIE3,2030,52.264
REGION1,ESE3,2030,1080.106
REGION1,SEE3,2030,591.014
REGION1,CHE3,2030,316.378
REGION1,UKE3,2030,1624.349
REGION1,DZE3,2030,460.765
REGION1,AOE3,2030,112.625
REGION1,BJE3,2030,6.835
REGION1,BWE3,2030,24.645
REGION1,BFE3,2030,12.439
REGION1,BIE3,2030,1.442
REGION1,CME3,2030,34.87
REGION1,CFE3,2030,0.457
REGION1,TDE3,2030,1.194
REGION1,CDE3,2030,113.173
REGION1,CIE3,2030,44.369
REGION1,DJE3,2030,2.847
REGION1,EGE3,2030,1165.537
REGION1,GQE3,2030,7.022
REGION1,ERE3,2030,1.429
REGION1,ETE3,2030,105.135
REGION1,GAE3,2030,10.959
REGION1,GME3,2030,1.77
REGION1,GHE3,2030,80.865
REGION1,GNE3,2030,12.721
REGION1,GWE3,2030,0.808
REGION1,KEE3,2030,66.157
REGION1,LSE3,2030,5.342
REGION1,LRE3,2030,1.475
REGION1,LYE3,2030,148.77
REGION1,MWE3,2030,10.718
REGION1,MLE3,2030,14.914
REGION1,MRE3,2030,7.771
REGION1,MAE3,2030,274.772
REGION1,MZE3,2030,46.417
REGION1,NAE3,2030,20.205
REGION1,NEE3,2030,6.437
REGION1,NGE3,2030,207.527
REGION1,CGE3,2030,8.737
REGION1,RWE3,2030,4.034
REGION1,SNE3,2030,31.34
REGION1,SLE3,2030,1.577
REGION1,SOE3,2030,2.168
REGION1,ZAE3,2030,828.866
REGION1,SSE3,2030,2.241
REGION1,SDE3,2030,57.83
REGION1,SZE3,2030,8.498
REGION1,TZE3,2030,28.309
REGION1,TGE3,2030,7.976
REGION1,TNE3,2030,140.792
REGION1,UGE3,2030,17.201
REGION1,ZME3,2030,86.022
REGION1,ZWE3,2030,57.562
REGION1,ATE3,2031,311.448
REGION1,BEE3,2031,373.337
REGION1,BGE3,2031,124.827
REGION1,HRE3,2031,66.01
REGION1,CYE3,2031,19.743
REGION1,CZE3,2031,238.25
REGION1,DKE3,2031,149.244
REGION1,EEE3,2031,34.827
REGION1,FIE3,2031,374.847
REGION1,FRE3,2031,2022.317
REGION1,DEE3,2031,2329.761
REGION1,GRE3,2031,234.7
REGION1,HUE3,2031,168.009
REGION1,IEE3,2031,150.043
REGION1,ITE3,2031,1399.517
REGION1,LVE3,2031,31.514
REGION1,LTE3,2031,51.998
REGION1,LUE3,2031,29.957
REGION1,MTE3,2031,13.136
REGION1,NLE3,2031,506.119
REGION1,NOE3,2031,624.202
REGION1,PLE3,2031,574.866
REGION1,PTE3,2031,237.313
REGION1,ROE3,2031,173.634
REGION1,SKE3,2031,92.932
REGION1,SIE3,2031,52.991
REGION1,ESE3,2031,1094.138
REGION1,SEE3,2031,598.692
REGION1,CHE3,2031,320.489
REGION1,UKE3,2031,1645.451
REGION1,DZE3,2031,476.772
REGION1,AOE3,2031,117.38
REGION1,BJE3,2031,7.142
REGION1,BWE3,2031,25.728
REGION1,BFE3,2031,12.997
REGION1,BIE3,2031,1.496
