REGION,FUEL,TIMESLICE,YEAR,VALUE
REGION1,FIE3,S3P2,2021,0.091772579471751
REGION1,FIE3,S3P3,2021,0.0347791367076687
REGION1,FIE3,S3P4,2021,0.0235065191367051
REGION1,FIE3,S4P1,2021,0.0715485565237797
REGION1,FIE3,S4P2,2021,0.110179653081976
REGION1,FIE3,S4P3,2021,0.0433151586360702
REGION1,FIE3,S4P4,2021,0.029937088626931
REGION1,FRE3,S1P1,2021,0.0824613605670364
REGION1,FRE3,S1P2,2021,0.131338457981231
REGION1,FRE3,S1P3,2021,0.0534683134631851
REGION1,FRE3,S1P4,2021,0.0376669279615084
REGION1,FRE3,S2P1,2021,0.0663667213288242
REGION1,FRE3,S2P2,2021,0.105584327623578
REGION1,FRE3,S2P3,2021,0.041866982786829
REGION1,FRE3,S2P4,2021,0.0299248695883349
REGION1,FRE3,S3P1,2021,0.0540881518413879
REGION1,FRE3,S3P2,2021,0.0967000138187939
REGION1,FRE3,S3P3,2021,0.0371078919987483
REGION1,FRE3,S3P4,2021,0.0263784846484082
REGION1,FRE3,S4P1,2021,0.0604076078207748
REGION1,FRE3,S4P2,2021,0.104922992528082
REGION1,FRE3,S4P3,2021,0.0423017912100617
REGION1,FRE3,S4P4,2021,0.0294151048332143
REGION1,HRE3,S1P1,2021,0.0623444802146232
REGION1,HRE3,S1P2,2021,0.119143905753969
REGION1,HRE3,S1P3,2021,0.0501078619133465
REGION1,HRE3,S1P4,2021,0.0305807508581528
REGION1,HRE3,S2P1,2021,0.0598598884245577
REGION1,HRE3,S2P2,2021,0.105882263471349
REGION1,HRE3,S2P3,2021,0.0453881742489073
REGION1,HRE3,S2P4,2021,0.0266955802111212
REGION1,HRE3,S3P1,2021,0.0627730207310169
REGION1,HRE3,S3P2,2021,0.120256092598548
REGION1,HRE3,S3P3,2021,0.0494382700132478
REGION1,HRE3,S3P4,2021,0.0287828026851354
REGION1,HRE3,S4P1,2021,0.0589614338337797
REGION1,HRE3,S4P2,2021,0.108365933141488
REGION1,HRE3,S4P3,2021,0.0452776572859991
REGION1,HRE3,S4P4,2021,0.0261418846147568
REGION1,HUE3,S1P1,2021,0.0714016706610155
REGION1,HUE3,S1P2,2021,0.121317996571736
REGION1,HUE3,S1P3,2021,0.0499788896508616
REGION1,HUE3,S1P4,2021,0.0325333472874795
REGION1,HUE3,S2P1,2021,0.0658880850597003
REGION1,HUE3,S2P2,2021,0.100578636761725
REGION1,HUE3,S2P3,2021,0.0456388238276519
REGION1,HUE3,S2P4,2021,0.0291967172053754
REGION1,HUE3,S3P1,2021,0.0623953679455553
REGION1,HUE3,S3P2,2021,0.0992724032690071
REGION1,HUE3,S3P3,2021,0.0444303318253484
REGION1,HUE3,S3P4,2021,0.0281192483036785
REGION1,HUE3,S4P1,2021,0.0664454005995393
REGION1,HUE3,S4P2,2021,0.107545020091958
REGION1,HUE3,S4P3,2021,0.0462254051457293
REGION1,HUE3,S4P4,2021,0.0290326557936369
REGION1,IEE3,S1P1,2021,0.0625895702917348
REGION1,IEE3,S1P2,2021,0.116851747083763
REGION1,IEE3,S1P3,2021,0.0510260855802941
REGION1,IEE3,S1P4,2021,0.0323449594453766
REGION1,IEE3,S2P1,2021,0.061439276450735
REGION1,IEE3,S2P2,2021,0.113829420062543
REGION1,IEE3,S2P3,2021,0.0467858308942055
REGION1,IEE3,S2P4,2021,0.0301444123527849
REGION1,IEE3,S3P1,2021,0.058612067284353
REGION1,IEE3,S3P2,2021,0.107827449137359
REGION1,IEE3,S3P3,2021,0.0409346043746593
