REGION,EMISSION,YEAR,VALUE
REGION1,PTCO2,2029,9999.0
REGION1,ROCO2,2029,9999.0
REGION1,RWCO2,2029,9999.0
REGION1,SDCO2,2029,9999.0
REGION1,SECO2,2029,9999.0
REGION1,SICO2,2029,9999.0
REGION1,SKCO2,2029,9999.0
REGION1,SLCO2,2029,9999.0
REGION1,SNCO2,2029,9999.0
REGION1,SOCO2,2029,9999.0
REGION1,SSCO2,2029,9999.0
REGION1,SZCO2,2029,9999.0
REGION1,TDCO2,2029,9999.0
REGION1,TGCO2,2029,9999.0
REGION1,TNCO2,2029,9999.0
REGION1,TZCO2,2029,9999.0
REGION1,UGCO2,2029,9999.0
REGION1,UKCO2,2029,9999.0
REGION1,ZACO2,2029,9999.0
REGION1,ZMCO2,2029,9999.0
REGION1,ZWCO2,2029,9999.0
REGION1,AOCO2,2030,2.06979517844961
REGION1,ATCO2,2030,19.329213030432598
REGION1,BECO2,2030,33.2561642513706
REGION1,BFCO2,2030,0.013285803070387696
REGION1,BGCO2,2030,4.092404875498319
REGION1,BICO2,2030,0.0
REGION1,BJCO2,2030,0.155160873278583
REGION1,BWCO2,2030,5.6861269575343085
REGION1,CDCO2,2030,0.0
REGION1,CFCO2,2030,0.000222252230145193
REGION1,CGCO2,2030,0.0
REGION1,CHCO2,2030,5.98967616375575
REGION1,CICO2,2030,28.003633025576498
REGION1,CMCO2,2030,0.0500679371802328
REGION1,CYCO2,2030,1.0909077531703797
REGION1,CZCO2,2030,18.434320989418296
REGION1,DECO2,2030,233.68669474902796
REGION1,DJCO2,2030,0.9487363596060978
REGION1,DKCO2,2030,3.6009022416637095
REGION1,DZCO2,2030,100.40321426325796
REGION1,EECO2,2030,0.524960411350319
REGION1,EGCO2,2030,81.26710199189228
REGION1,ERCO2,2030,0.23210730640404395
REGION1,ESCO2,2030,66.1276975119498
REGION1,ETCO2,2030,1.86343406494348
REGION1,FICO2,2030,4.37934349228645
REGION1,FRCO2,2030,66.83507343509659
REGION1,GACO2,2030,0.06852817248351338
REGION1,GHCO2,2030,19.596379091658395
