REGION,TECHNOLOGY,VALUE
REGION1,HUHYDMPH1,31.536
REGION1,HUHYDRPH1,31.536
REGION1,IEBFHPFH1,31.536
REGION1,IEBMSTPH1,31.536
REGION1,IEHYDMPH1,31.536
REGION1,IEHYDRPH1,31.536
REGION1,IEHYDSPH1,31.536
REGION1,IENGCCPH1,31.536
REGION1,IENGCHPH1,31.536
REGION1,IESOUTPH1,31.536
REGION1,IEWIOFPH1,31.536
REGION1,IEWIONPH1,31.536
REGION1,IEWSSTPH1,31.536
REGION1,IECOSTPH1,31.536
REGION1,IELICHPH1,31.536
REGION1,IELIELH1,31.536
REGION1,IEBFCHPH1,31.536
REGION1,IERGCHPH1,31.536
REGION1,IEDSELH1,31.536
REGION1,IEDSCHPH1,31.536
REGION1,IEHFSTPH1,31.536
REGION1,IEBMCHPH1,31.536
REGION1,ITBFHPFH1,31.536
REGION1,ITBMCHPH1,31.536
REGION1,ITBMSTPH1,31.536
REGION1,ITCOCHPH1,31.536
REGION1,ITGOCVPH1,31.536
REGION1,ITHFCHPH1,31.536
REGION1,ITHFSTPH1,31.536
REGION1,ITHYDMPH1,31.536
REGION1,ITHYDSPH1,31.536
REGION1,ITNGCCPH1,31.536
REGION1,ITNGCHPH1,31.536
REGION1,ITSOUTPH1,31.536
REGION1,ITWIONPH1,31.536
REGION1,ITWSCHPH1,31.536
REGION1,ITWSSTPH1,31.536
REGION1,ITCOSTPH1,31.536
REGION1,ITBFCHPH1,31.536
REGION1,ITDGCHPH1,31.536
REGION1,ITDGELH1,31.536
REGION1,ITRGCHPH1,31.536
REGION1,ITRGELH1,31.536
REGION1,ITDSCHPH1,31.536
REGION1,ITDSELH1,31.536
REGION1,ITWIOFPH1,31.536
REGION1,ITHYDRPH1,31.536
REGION1,LTBMCHPH1,31.536
REGION1,LTHFCHPH1,31.536
REGION1,LTNGCHPH1,31.536
REGION1,LTSOUTPH1,31.536
REGION1,LTWIONPH1,31.536
REGION1,LTWSCHPH1,31.536
REGION1,LTBFCHPH1,31.536
REGION1,LTRGCHPH1,31.536
REGION1,LTDSCHPH1,31.536
REGION1,LTHYDRPH1,31.536
REGION1,LTHYDSPH1,31.536
REGION1,LUHYDSPH1,31.536
REGION1,LUNGCCPH1,31.536
REGION1,LUNGCHPH1,31.536
REGION1,LUSOUTPH1,31.536
REGION1,LUWIONPH1,31.536
REGION1,LUWSCHPH1,31.536
REGION1,LUBFCHPH1,31.536
REGION1,LUDSCHPH1,31.536
REGION1,LUBMCHPH1,31.536
REGION1,LUHYDRPH1,31.536
REGION1,LVCOCHPH1,31.536
REGION1,LVHFCHPH1,31.536
REGION1,LVHYDMPH1,31.536
REGION1,LVNGCCPH1,31.536
REGION1,LVNGCHPH1,31.536
REGION1,LVSOUTPH1,31.536
REGION1,LVWIONPH1,31.536
REGION1,LVLICHPH1,31.536
REGION1,LVBFCHPH1,31.536
REGION1,LVDSCHPH1,31.536
REGION1,LVBMCHPH1,31.536
REGION1,LVHYDRPH1,31.536
REGION1,MTSOUTPH1,31.536
REGION1,MTWIONPH1,31.536
REGION1,MTNGHPFH1,31.536
REGION1,MTBFCHPH1,31.536
REGION1,MTDSGCCH1,31.536
REGION1,MTDSGCPH1,31.536
REGION1,MTDSSTPH1,31.536
REGION1,NLBFHPFH1,31.536
REGION1,NLBMSTPH1,31.536
REGION1,NLCOCHPH1,31.536
REGION1,NLNGCCPH1,31.536
REGION1,NLNGCHPH1,31.536
REGION1,NLNUG2PH1,31.536
REGION1,NLSOUTPH1,31.536
REGION1,NLWIOFPH1,31.536
REGION1,NLWIONPH1,31.536
REGION1,NLWSCHPH1,31.536
REGION1,NLCOSTPH1,31.536
REGION1,NLBFCHPH1,31.536
REGION1,NLDGCHPH1,31.536
REGION1,NLDGELH1,31.536
REGION1,NLRGCHPH1,31.536
REGION1,NLRGELH1,31.536
REGION1,NLDSCHPH1,31.536
REGION1,NLDSELH1,31.536
REGION1,NLHFCHPH1,31.536
REGION1,NLBMCHPH1,31.536
REGION1,NLHYDRPH1,31.536
REGION1,PLCOCHPH1,31.536
REGION1,PLCOSTPH1,31.536
REGION1,PLLICHPH1,31.536
REGION1,PLLIELH1,31.536
REGION1,PLNGCCPH1,31.536
REGION1,PLNGCHPH1,31.536
REGION1,PLBFCHPH1,31.536
REGION1,PLDGCHPH1,31.536
REGION1,PLRGCHPH1,31.536
REGION1,PLDSCHPH1,31.536
REGION1,PLDSELH1,31.536
REGION1,PLHFCHPH1,31.536
REGION1,PLBMSTPH1,31.536
REGION1,PLBMCHPH1,31.536
REGION1,PLWIONPH1,31.536
REGION1,PLHYDMPH1,31.536
REGION1,PLHYDSPH1,31.536
REGION1,PLHYDRPH1,31.536
REGION1,PTBFHPFH1,31.536
REGION1,PTBMSTPH1,31.536
REGION1,PTGOCVPH1,31.536
REGION1,PTHFCHPH1,31.536
REGION1,PTHFSTPH1,31.536
REGION1,PTHYDMPH1,31.536
REGION1,PTHYDSPH1,31.536
REGION1,PTNGCCPH1,31.536
REGION1,PTNGCHPH1,31.536
REGION1,PTOCWVPH1,31.536
REGION1,PTSOUTPH1,31.536
REGION1,PTWIOFPH1,31.536
REGION1,PTWIONPH1,31.536
REGION1,PTWSCHPH1,31.536
REGION1,PTWSSTPH1,31.536
REGION1,PTCOSTPH1,31.536
REGION1,PTBFCHPH1,31.536
REGION1,PTRGCHPH1,31.536
REGION1,PTDSCHPH1,31.536
REGION1,PTDSELH1,31.536
REGION1,PTBMCHPH1,31.536
REGION1,PTHYDRPH1,31.536
REGION1,ROBMSTPH1,31.536
REGION1,ROCOCHPH1,31.536
REGION1,ROHFCHPH1,31.536
REGION1,ROHYDMPH1,31.536
REGION1,RONGCHPH1,31.536
REGION1,RONUG2PH1,31.536
REGION1,ROSOUTPH1,31.536
REGION1,ROWIONPH1,31.536
REGION1,ROLICHPH1,31.536
REGION1,ROLIELH1,31.536
REGION1,RONGCCPH1,31.536
REGION1,RODGCHPH1,31.536
REGION1,RODGELH1,31.536
REGION1,RORGCHPH1,31.536
REGION1,RODSCHPH1,31.536
REGION1,RODSELH1,31.536
REGION1,ROHFSTPH1,31.536
REGION1,ROBMCHPH1,31.536
REGION1,ROGOCVPH1,31.536
REGION1,ROHYDRPH1,31.536
REGION1,ROHYDSPH1,31.536
REGION1,SEBMCHPH1,31.536
REGION1,SECOCHPH1,31.536
REGION1,SEHFCHPH1,31.536
REGION1,SEHYDMPH1,31.536
REGION1,SEHYDSPH1,31.536
REGION1,SENGCCPH1,31.536
REGION1,SENGCHPH1,31.536
REGION1,SENUG2PH1,31.536
REGION1,SESOUTPH1,31.536
REGION1,SEWIOFPH1,31.536
REGION1,SEWIONPH1,31.536
REGION1,SEWSCHPH1,31.536
REGION1,SELICHPH1,31.536
REGION1,SEBFCHPH1,31.536
REGION1,SEDGCHPH1,31.536
REGION1,SEDSCHPH1,31.536
REGION1,SEDSELH1,31.536
REGION1,SEHFSTPH1,31.536
REGION1,SEHYDRPH1,31.536
REGION1,SIHFCHPH1,31.536
REGION1,SIHFSTPH1,31.536
REGION1,SIHYDMPH1,31.536
REGION1,SINGCHPH1,31.536
REGION1,SINUG2PH1,31.536
REGION1,SISOUTPH1,31.536
REGION1,SIWIONPH1,31.536
REGION1,SILICHPH1,31.536
REGION1,SINGCCPH1,31.536
REGION1,SIBFCHPH1,31.536
REGION1,SIDSCHPH1,31.536
REGION1,SIDSELH1,31.536
REGION1,SIBMCHPH1,31.536
REGION1,SIWSCHPH1,31.536
REGION1,SIHYDRPH1,31.536
REGION1,SIHYDSPH1,31.536
REGION1,SKBFHPFH1,31.536
REGION1,SKBMSTPH1,31.536
REGION1,SKCOCHPH1,31.536
REGION1,SKHFCHPH1,31.536
REGION1,SKHYDMPH1,31.536
REGION1,SKHYDSPH1,31.536
REGION1,SKNGCCPH1,31.536
REGION1,SKNGCHPH1,31.536
REGION1,SKNUG2PH1,31.536
REGION1,SKSOUTPH1,31.536
REGION1,SKWIONPH1,31.536
REGION1,SKWSCHPH1,31.536
REGION1,SKLICHPH1,31.536
REGION1,SKLIELH1,31.536
REGION1,SKBFCHPH1,31.536
REGION1,SKDGCHPH1,31.536
REGION1,SKRGCHPH1,31.536
REGION1,SKDSCHPH1,31.536
REGION1,SKDSELH1,31.536
REGION1,SKBMCHPH1,31.536
REGION1,SKHYDRPH1,31.536
REGION1,NOBFHPFH1,31.536
REGION1,NOHFCHPH1,31.536
REGION1,NOHFSTPH1,31.536
REGION1,NOHYDRPH1,31.536
REGION1,NOHYDMPH1,31.536
REGION1,NOSOUTPH1,31.536
REGION1,NOWIOFPH1,31.536
REGION1,NOWIONPH1,31.536
REGION1,NOWSCHPH1,31.536
REGION1,NOBMCHPH1,31.536
REGION1,NOOCWVPH1,31.536
REGION1,CHBFHPFH1,31.536
REGION1,CHHFCHPH1,31.536
REGION1,CHHFSTPH1,31.536
REGION1,CHHYDSPH1,31.536
REGION1,CHNGCCPH1,31.536
REGION1,CHNGCHPH1,31.536
REGION1,CHNUG2PH1,31.536
REGION1,CHSOUTPH1,31.536
REGION1,CHWIONPH1,31.536
REGION1,CHWSCHPH1,31.536
REGION1,CHWSSTPH1,31.536
REGION1,CHHYDRPH1,31.536
REGION1,CHHYDMPH1,31.536
REGION1,UKBFHPFH1,31.536
REGION1,UKBMCCPH1,31.536
REGION1,UKBMSTPH1,31.536
REGION1,UKCOCHPH1,31.536
REGION1,UKHFCHPH1,31.536
REGION1,UKHFSTPH1,31.536
REGION1,UKHYDMPH1,31.536
REGION1,UKHYDRPH1,31.536
REGION1,UKHYDSPH1,31.536
REGION1,UKNGCCPH1,31.536
REGION1,UKNGCHPH1,31.536
REGION1,UKNUG2PH1,31.536
REGION1,UKOCWVPH1,31.536
REGION1,UKSOUTPH1,31.536
REGION1,UKWIOFPH1,31.536
REGION1,UKWIONPH1,31.536
REGION1,UKWSCHPH1,31.536
REGION1,UKWSSTPH1,31.536
REGION1,ATCOCHPN1,31.536
REGION1,ATNGCCPN1,31.536
REGION1,ATNGCHPN1,31.536
REGION1,ATNGGCPN1,31.536
REGION1,ATNGHPFN1,31.536
REGION1,ATNGSTPN1,31.536
REGION1,ATBFCHPN1,31.536
REGION1,ATBFHPFN1,31.536
REGION1,ATDGCHPN1,31.536
REGION1,ATDGELN1,31.536
REGION1,ATRGCHPN1,31.536
REGION1,ATDSCHPN1,31.536
REGION1,ATDSELN1,31.536
REGION1,ATHFCHPN1,31.536
REGION1,ATHFSTPN1,31.536
REGION1,ATBMSTPN1,31.536
REGION1,ATBMCHPN1,31.536
REGION1,ATWSCHPN1,31.536
REGION1,ATWSSTPN1,31.536
REGION1,ATWIONPN1,31.536
REGION1,ATSOUTPN1,31.536
REGION1,ATGOCVPN1,31.536
REGION1,ATHYDMPN1,31.536
REGION1,ATHYDSPN1,31.536
REGION1,ATHYDRPN1,31.536
REGION1,BENUG2PN1,31.536
REGION1,BECOCHPN1,31.536
REGION1,BECOSTPN1,31.536
REGION1,BENGCCPN1,31.536
REGION1,BENGCHPN1,31.536
REGION1,BEBFHPFN1,31.536
REGION1,BEBFCHPN1,31.536
REGION1,BEDGELN1,31.536
REGION1,BERGCHPN1,31.536
REGION1,BEDSCHPN1,31.536
REGION1,BEDSELN1,31.536
REGION1,BEHFCHPN1,31.536
REGION1,BEHFSTPN1,31.536
REGION1,BEWSCHPN1,31.536
REGION1,BEWSSTPN1,31.536
REGION1,BEWIOFPN1,31.536
REGION1,BEWIONPN1,31.536
REGION1,BESOUTPN1,31.536
REGION1,BEHYDMPN1,31.536
REGION1,BEHYDSPN1,31.536
REGION1,BEHYDRPN1,31.536
REGION1,BEBMCHPN1,31.536
REGION1,BEBMSTPN1,31.536
REGION1,BGBFHPFN1,31.536
REGION1,BGCOCHPN1,31.536
REGION1,BGCOSTPN1,31.536
REGION1,BGHFCHPN1,31.536
REGION1,BGHYDMPN1,31.536
REGION1,BGHYDSPN1,31.536
REGION1,BGNGCHPN1,31.536
REGION1,BGNGSTPN1,31.536
REGION1,BGNUG2PN1,31.536
