REGION,STORAGE,YEAR,VALUE
REGION1,GRHYDSSN1,2026,0.018
REGION1,ESHYDSSN1,2026,0.0
REGION1,FRHYDSSN1,2026,0.0
REGION1,HRHYDSSN1,2026,0.0
REGION1,IEHYDSSN1,2026,0.0
REGION1,ITHYDSSN1,2026,0.0
REGION1,LTHYDSSN1,2026,0.0
REGION1,LUHYDSSN1,2026,0.0
REGION1,SLHYDSSN1,2026,0.0
REGION1,STHYDSSN1,2026,0.0
REGION1,ROHYDSSN1,2026,0.0
REGION1,SEHYDSSN1,2026,0.0
REGION1,SIHYDSSN1,2026,0.0
REGION1,SKHYDSSN1,2026,0.0
REGION1,CHHYDSSN1,2026,0.0
REGION1,UKHYDSSN1,2026,0.0
REGION1,MAHYDSSH1,2026,0.0133632
REGION1,ZAHYDSSH1,2026,0.0786816
REGION1,ATHYDSSH1,2027,0.172786176
REGION1,BEHYDSSH1,2027,0.03757824
REGION1,BGHYDSSH1,2027,0.0369216
REGION1,CZHYDSSH1,2027,0.033043968
REGION1,DEHYDSSH1,2027,0.192259008
REGION1,GRHYDSSH1,2027,0.0201312
REGION1,ESHYDSSH1,2027,0.1810400344615382
REGION1,FRHYDSSH1,2027,0.1704355199999997
REGION1,HRHYDSSH1,2027,0.00846144
REGION1,IEHYDSSH1,2027,0.0084096
REGION1,ITHYDSSH1,2027,0.2184566399999997
REGION1,LTHYDSSH1,2027,0.02592
REGION1,LUHYDSSH1,2027,0.034776
REGION1,SLHYDSSH1,2027,0.051332256
REGION1,STHYDSSH1,2027,0.07291008
REGION1,ROHYDSSH1,2027,0.0057168
REGION1,SEHYDSSH1,2027,0.0026496
REGION1,SIHYDSSH1,2027,0.0051264
REGION1,SKHYDSSH1,2027,0.0264096
REGION1,CHHYDSSH1,2027,0.01418204346100289
REGION1,UKHYDSSH1,2027,0.07163863117870722
REGION1,ATBATSH1,2027,4.0014578209259504e-05
REGION1,BEBATSH1,2027,5.635856085811199e-05
REGION1,BGBATSH1,2027,0.0
REGION1,CHBATSH1,2027,0.0
REGION1,CYBATSH1,2027,0.0
REGION1,CZBATSH1,2027,0.0
REGION1,DEBATSH1,2027,0.0
REGION1,DKBATSH1,2027,0.0
REGION1,EEBATSH1,2027,0.0
REGION1,GRBATSH1,2027,0.001095579425873225
REGION1,ESBATSH1,2027,0.0
REGION1,FIBATSH1,2027,0.0
REGION1,FRBATSH1,2027,0.0
REGION1,HRBATSH1,2027,0.0004619711233539439
REGION1,HUBATSH1,2027,0.0
REGION1,IEBATSH1,2027,0.0
REGION1,ITBATSH1,2027,0.0
REGION1,LTBATSH1,2027,0.0
REGION1,LUBATSH1,2027,0.0
REGION1,LVBATSH1,2027,0.0
REGION1,MTBATSH1,2027,0.0
REGION1,NLBATSH1,2027,0.0
REGION1,NOBATSH1,2027,0.0
REGION1,PLBATSH1,2027,0.0
REGION1,PTBATSH1,2027,0.0
