REGION,FUEL,YEAR,VALUE
REGION1,BJNG,2029,0.0
REGION1,BWNG,2029,0.0
REGION1,BFNG,2029,0.0
REGION1,BING,2029,0.0
REGION1,CMNG,2029,0.0
REGION1,CFNG,2029,0.0
REGION1,TDNG,2029,0.0
REGION1,CDNG,2029,0.0
REGION1,CING,2029,310.4607500000001
REGION1,DJNG,2029,0.0
REGION1,EGNG,2029,750.212
REGION1,GQNG,2029,172.031525
REGION1,ERNG,2029,0.0
REGION1,ETNG,2029,0.0
REGION1,GANG,2029,0.20750000000000002
REGION1,GMNG,2029,0.0
REGION1,GHNG,2029,181.24099999999993
REGION1,GNNG,2029,0.0
REGION1,GWNG,2029,0.0
REGION1,KENG,2029,0.0
REGION1,LSNG,2029,0.0
REGION1,LRNG,2029,0.0
REGION1,LYNG,2029,47.263
REGION1,MWNG,2029,0.0
REGION1,MLNG,2029,0.0
REGION1,MRNG,2029,0.0
REGION1,MANG,2029,0.989
REGION1,MZNG,2029,15.996
REGION1,NANG,2029,0.0
REGION1,NENG,2029,0.0
REGION1,NGNG,2029,363.665
REGION1,CGNG,2029,0.0
REGION1,RWNG,2029,0.0
REGION1,SNNG,2029,0.0
REGION1,SLNG,2029,0.0
REGION1,SONG,2029,0.0
REGION1,ZANG,2029,72.047
REGION1,SSNG,2029,0.0
REGION1,SDNG,2029,0.0
REGION1,SZNG,2029,0.0
REGION1,TZNG,2029,53.308
REGION1,TGNG,2029,0.0
REGION1,TNNG,2029,46.416
REGION1,UGNG,2029,0.0
REGION1,ZMNG,2029,0.0
REGION1,ZWNG,2029,0.0
REGION1,ATNG,2030,178.889
REGION1,BENG,2030,384.421
REGION1,BGNG,2030,50.364
REGION1,HRNG,2030,49.991
REGION1,CYNG,2030,0.0
REGION1,CZNG,2030,189.962
REGION1,DKNG,2030,56.376
REGION1,EENG,2030,6.936
REGION1,FING,2030,25.44
REGION1,FRNG,2030,1005.733
REGION1,DENG,2030,2071.42
REGION1,GRNG,2030,51.052
REGION1,HUNG,2030,220.588
REGION1,IENG,2030,71.085
REGION1,ITNG,2030,1285.292
REGION1,LVNG,2030,11.926
REGION1,LTNG,2030,44.373
REGION1,LUNG,2030,19.715
REGION1,MTNG,2030,0.0
REGION1,NLNG,2030,613.952
REGION1,NONG,2030,30.353
REGION1,PLNG,2030,476.328
REGION1,PTNG,2030,72.913
REGION1,RONG,2030,224.178
REGION1,SKNG,2030,113.058
REGION1,SING,2030,23.524
REGION1,ESNG,2030,570.576
REGION1,SENG,2030,20.704
REGION1,CHNG,2030,105.581
REGION1,UKNG,2030,1484.318
REGION1,DZNG,2030,1113.401
REGION1,AONG,2030,25.67
REGION1,BJNG,2030,0.0
REGION1,BWNG,2030,0.0
REGION1,BFNG,2030,0.0
REGION1,BING,2030,0.0
REGION1,CMNG,2030,0.0
REGION1,CFNG,2030,0.0
REGION1,TDNG,2030,0.0
REGION1,CDNG,2030,0.0
REGION1,CING,2030,352.83071428571435
REGION1,DJNG,2030,0.0
REGION1,EGNG,2030,777.386
REGION1,GQNG,2030,183.69188571428572
REGION1,ERNG,2030,0.0
REGION1,ETNG,2030,0.0
REGION1,GANG,2030,0.22142857142857142
REGION1,GMNG,2030,0.0
REGION1,GHNG,2030,205.97571428571422
