REGION,TECHNOLOGY,VALUE
REGION1,UKCOCHPH1,25.0
REGION1,UKHFCHPH1,25.0
REGION1,UKHFSTPH1,30.0
REGION1,UKHYDMPH1,60.0
REGION1,UKHYDRPH1,50.0
REGION1,UKHYDSPH1,50.0
REGION1,UKNGCCPH1,30.0
REGION1,UKNGCHPH1,25.0
REGION1,UKNUG2PH1,35.0
REGION1,UKOCWVPH1,80.0
REGION1,UKSOUTPH1,30.0
REGION1,UKWIOFPH1,30.0
REGION1,UKWIONPH1,30.0
REGION1,UKWSCHPH1,35.0
REGION1,UKWSSTPH1,20.0
REGION1,ATCOCHPN1,25.0
REGION1,ATNGCCPN1,30.0
REGION1,ATNGCHPN1,25.0
REGION1,ATNGGCPN1,25.0
REGION1,ATNGHPFN1,20.0
REGION1,ATNGSTPN1,30.0
REGION1,ATBFCHPN1,35.0
REGION1,ATBFHPFN1,25.0
REGION1,ATDGCHPN1,25.0
REGION1,ATDGELN1,30.0
REGION1,ATRGCHPN1,25.0
REGION1,ATDSCHPN1,25.0
REGION1,ATDSELN1,30.0
REGION1,ATHFCHPN1,25.0
REGION1,ATHFSTPN1,30.0
REGION1,ATBMSTPN1,40.0
REGION1,ATBMCHPN1,35.0
REGION1,ATWSCHPN1,35.0
REGION1,ATWSSTPN1,20.0
REGION1,ATWIONPN1,30.0
REGION1,ATSOUTPN1,30.0
REGION1,ATGOCVPN1,30.0
REGION1,ATHYDMPN1,60.0
REGION1,ATHYDSPN1,50.0
REGION1,ATHYDRPN1,50.0
REGION1,BENUG2PN1,35.0
REGION1,BECOCHPN1,25.0
REGION1,BECOSTPN1,40.0
REGION1,BENGCCPN1,30.0
REGION1,BENGCHPN1,25.0
REGION1,BEBFHPFN1,25.0
REGION1,BEBFCHPN1,35.0
REGION1,BEDGELN1,30.0
REGION1,BERGCHPN1,25.0
REGION1,BEDSCHPN1,25.0
REGION1,BEDSELN1,30.0
REGION1,BEHFCHPN1,25.0
REGION1,BEHFSTPN1,30.0
REGION1,BEWSCHPN1,35.0
REGION1,BEWSSTPN1,20.0
REGION1,BEWIOFPN1,30.0
REGION1,BEWIONPN1,30.0
REGION1,BESOUTPN1,30.0
REGION1,BEHYDMPN1,60.0
REGION1,BEHYDSPN1,50.0
REGION1,BEHYDRPN1,50.0
REGION1,BEBMCHPN1,35.0
REGION1,BEBMSTPN1,40.0
REGION1,BGBFHPFN1,25.0
REGION1,BGCOCHPN1,25.0
REGION1,BGCOSTPN1,40.0
REGION1,BGHFCHPN1,25.0
REGION1,BGHYDMPN1,60.0
REGION1,BGHYDSPN1,50.0
REGION1,BGNGCHPN1,25.0
REGION1,BGNGSTPN1,30.0
REGION1,BGNUG2PN1,35.0
REGION1,BGSOUTPN1,30.0
REGION1,BGWIONPN1,30.0
REGION1,BGLICHPN1,25.0
REGION1,BGLIELN1,40.0
REGION1,BGBFCHPN1,35.0
REGION1,BGRGCHPN1,25.0
REGION1,BGRGELN1,30.0
REGION1,BGDSCHPN1,25.0
REGION1,BGDSELN1,30.0
REGION1,BGHFSTPN1,30.0
REGION1,BGBMCHPN1,35.0
REGION1,BGBMSTPN1,40.0
REGION1,BGWSCHPN1,35.0
REGION1,BGHYDRPN1,50.0
REGION1,CYBFCHPN1,35.0
