REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,SKSOUTPH1,S3P4,2021,0.0
REGION1,SKSOUTPH1,S4P1,2021,0.01943328100470958
REGION1,SKSOUTPH1,S4P2,2021,0.2484329670329671
REGION1,SKSOUTPH1,S4P3,2021,0.0
REGION1,SKSOUTPH1,S4P4,2021,0.0
REGION1,NOSOUTPH1,S1P1,2021,3.174603174603175e-06
REGION1,NOSOUTPH1,S1P2,2021,0.03945555555555556
REGION1,NOSOUTPH1,S1P3,2021,0.0
REGION1,NOSOUTPH1,S1P4,2021,0.0
REGION1,NOSOUTPH1,S2P1,2021,0.02795807453416149
REGION1,NOSOUTPH1,S2P2,2021,0.2975141304347826
REGION1,NOSOUTPH1,S2P3,2021,0.01280434782608696
REGION1,NOSOUTPH1,S2P4,2021,0.0
REGION1,NOSOUTPH1,S3P1,2021,0.05031987577639752
REGION1,NOSOUTPH1,S3P2,2021,0.3625282608695652
REGION1,NOSOUTPH1,S3P3,2021,0.03165760869565217
REGION1,NOSOUTPH1,S3P4,2021,0.0
REGION1,NOSOUTPH1,S4P1,2021,0.004089481946624804
REGION1,NOSOUTPH1,S4P2,2021,0.1436681318681319
REGION1,NOSOUTPH1,S4P3,2021,0.0007060439560439561
REGION1,NOSOUTPH1,S4P4,2021,0.0
REGION1,CHSOUTPH1,S1P1,2021,0.0006587301587301587
REGION1,CHSOUTPH1,S1P2,2021,0.2365855555555555
REGION1,CHSOUTPH1,S1P3,2021,0.0
REGION1,CHSOUTPH1,S1P4,2021,0.0
REGION1,CHSOUTPH1,S2P1,2021,0.03004192546583851
REGION1,CHSOUTPH1,S2P2,2021,0.4310913043478261
REGION1,CHSOUTPH1,S2P3,2021,0.009421195652173914
REGION1,CHSOUTPH1,S2P4,2021,0.0
REGION1,CHSOUTPH1,S3P1,2021,0.04630434782608696
REGION1,CHSOUTPH1,S3P2,2021,0.4534097826086956
REGION1,CHSOUTPH1,S3P3,2021,0.02219021739130435
REGION1,CHSOUTPH1,S3P4,2021,0.0
REGION1,CHSOUTPH1,S4P1,2021,0.006963893249607535
REGION1,CHSOUTPH1,S4P2,2021,0.3209725274725275
REGION1,CHSOUTPH1,S4P3,2021,0.0007774725274725275
REGION1,CHSOUTPH1,S4P4,2021,0.0
REGION1,UKSOUTPH1,S1P1,2021,0.0
REGION1,UKSOUTPH1,S1P2,2021,0.07554777777777777
REGION1,UKSOUTPH1,S1P3,2021,2.777777777777778e-06
REGION1,UKSOUTPH1,S1P4,2021,0.0
REGION1,UKSOUTPH1,S2P1,2021,0.01080745341614907
REGION1,UKSOUTPH1,S2P2,2021,0.3280641304347826
REGION1,UKSOUTPH1,S2P3,2021,0.0281304347826087
REGION1,UKSOUTPH1,S2P4,2021,0.0
REGION1,UKSOUTPH1,S3P1,2021,0.02415217391304348
REGION1,UKSOUTPH1,S3P2,2021,0.3850489130434783
REGION1,UKSOUTPH1,S3P3,2021,0.05460869565217391
REGION1,UKSOUTPH1,S3P4,2021,0.0
