REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,HURGCHPH1,HURG,1,2021,1.68936
REGION1,HUDSCHPH1,HUDS,1,2021,2.32558
REGION1,HUDSELH1,HUDS,1,2021,1.754385964912281
REGION1,HUHFCHPH1,HUHF,1,2021,2.32558
REGION1,HUHFSTPH1,HUHF,1,2021,2.32558
REGION1,HUBMSTPH1,HUBM,1,2021,2.884249847109964
REGION1,HUBMCHPH1,HUBM,1,2021,3.25808997632202
REGION1,HUWSSTPH1,HUWS,1,2021,3.015762987012986
REGION1,HUGOCVPH1,HUGO,1,2021,10.0
REGION1,IEBFHPFH1,IEBF,1,2021,2.662337662337662
REGION1,IEBMSTPH1,IEBM,1,2021,2.884249847109964
REGION1,IENGCCPH1,IENG,1,2021,1.754385964912281
REGION1,IENGCHPH1,IENG,1,2021,1.68936
REGION1,IEWSSTPH1,IEWS,1,2021,3.015762987012986
REGION1,IECOSTPH1,IECO,1,2021,2.654557624437142
REGION1,IELICHPH1,IELI,1,2021,2.43322
REGION1,IELIELH1,IELI,1,2021,2.702702702702703
REGION1,IEBFCHPH1,IEBF,1,2021,3.25808997632202
REGION1,IERGCHPH1,IERG,1,2021,1.68936
REGION1,IEDSELH1,IEDS,1,2021,1.754385964912281
REGION1,IEDSCHPH1,IEDS,1,2021,2.32558
REGION1,IEHFSTPH1,IEHF,1,2021,2.32558
REGION1,IEBMCHPH1,IEBM,1,2021,3.25808997632202
REGION1,ITBFHPFH1,ITBF,1,2021,2.662337662337662
REGION1,ITBMCHPH1,ITBM,1,2021,3.25808997632202
REGION1,ITBMSTPH1,ITBM,1,2021,2.884249847109964
REGION1,ITCOCHPH1,ITCO,1,2021,2.43322
REGION1,ITGOCVPH1,ITGO,1,2021,10.0
REGION1,ITHFCHPH1,ITHF,1,2021,2.32558
REGION1,ITHFSTPH1,ITHF,1,2021,2.32558
REGION1,ITNGCCPH1,ITNG,1,2021,1.754385964912281
REGION1,ITNGCHPH1,ITNG,1,2021,1.68936
REGION1,ITWSCHPH1,ITWS,1,2021,3.25808997632202
REGION1,ITWSSTPH1,ITWS,1,2021,3.015762987012986
REGION1,ITCOSTPH1,ITCO,1,2021,2.654557624437142
REGION1,ITBFCHPH1,ITBF,1,2021,3.25808997632202
REGION1,ITDGCHPH1,ITDG,1,2021,1.68936
REGION1,ITDGELH1,ITDG,1,2021,1.754385964912281
REGION1,ITRGCHPH1,ITRG,1,2021,1.68936
REGION1,ITRGELH1,ITRG,1,2021,1.754385964912281
REGION1,ITDSCHPH1,ITDS,1,2021,2.32558
REGION1,ITDSELH1,ITDS,1,2021,1.754385964912281
REGION1,LTBMCHPH1,LTBM,1,2021,3.25808997632202
REGION1,LTHFCHPH1,LTHF,1,2021,2.32558
REGION1,LTNGCHPH1,LTNG,1,2021,1.68936
REGION1,LTWSCHPH1,LTWS,1,2021,3.25808997632202
REGION1,LTBFCHPH1,LTBF,1,2021,3.25808997632202
REGION1,LTRGCHPH1,LTRG,1,2021,1.68936
REGION1,LTDSCHPH1,LTDS,1,2021,2.32558
REGION1,LUNGCCPH1,LUNG,1,2021,1.754385964912281
REGION1,LUNGCHPH1,LUNG,1,2021,1.68936
REGION1,LUWSCHPH1,LUWS,1,2021,3.25808997632202
REGION1,LUBFCHPH1,LUBF,1,2021,3.25808997632202
REGION1,LUDSCHPH1,LUDS,1,2021,2.32558
REGION1,LUBMCHPH1,LUBM,1,2021,3.25808997632202
REGION1,LVCOCHPH1,LVCO,1,2021,2.43322
